Date,Price,Open,High,Low,Vol.,Change %
1/2/2015,5242.77,5233.80,5247.94,5230.75,3.81B,0.30%
1/5/2015,5219.99,5229.68,5233.66,5206.28,4.48B,-0.43%
1/6/2015,5169.06,5186.20,5194.80,5169.06,5.15B,-0.98%
1/7/2015,5207.12,5175.55,5207.38,5174.80,7.21B,0.74%
1/8/2015,5211.83,5218.40,5230.18,5208.99,6.92B,0.09%
1/9/2015,5216.66,5226.89,5240.24,5212.28,7.39B,0.09%
1/12/2015,5187.93,5202.75,5220.25,5183.21,4.77B,-0.55%
1/13/2015,5214.36,5199.94,5217.22,5197.09,7.29B,0.51%
1/14/2015,5159.67,5217.20,5225.02,5159.67,6.40B,-1.05%
1/15/2015,5188.71,5180.43,5193.95,5168.01,5.42B,0.56%
1/16/2015,5148.38,5182.01,5204.49,5148.38,4.62B,-0.78%
1/19/2015,5152.09,5152.16,5171.68,5132.71,4.48B,0.07%
1/20/2015,5166.09,5154.37,5166.09,5121.81,4.72B,0.27%
1/21/2015,5215.27,5176.35,5215.27,5164.30,3.97B,0.95%
1/22/2015,5253.18,5215.64,5267.57,5215.03,6.03B,0.73%
1/23/2015,5323.89,5281.18,5325.04,5281.18,6.18B,1.35%
1/26/2015,5260.02,5302.64,5309.52,5208.42,4.77B,-1.20%
1/27/2015,5277.15,5254.46,5277.15,5243.75,4.03B,0.33%
1/28/2015,5268.85,5272.22,5279.91,5263.55,4.52B,-0.16%
1/29/2015,5262.72,5263.53,5266.99,5253.45,3.94B,-0.12%
1/30/2015,5289.40,5290.39,5298.46,5281.58,3.95B,0.51%
2/2/2015,5276.24,5277.15,5291.41,5257.21,3.37B,-0.25%
2/3/2015,5291.72,5287.62,5310.11,5282.06,4.53B,0.29%
2/4/2015,5315.28,5315.45,5348.84,5298.12,5.36B,0.45%
2/5/2015,5279.90,5309.13,5314.29,5254.04,4.04B,-0.67%
2/6/2015,5342.52,5297.35,5342.52,5296.60,4.73B,1.19%
2/9/2015,5348.47,5341.76,5375.09,5333.23,4.17B,0.11%
2/10/2015,5321.47,5353.81,5362.57,5310.08,4.36B,-0.50%
2/11/2015,5336.52,5336.66,5345.08,5327.89,4.70B,0.28%
2/12/2015,5343.41,5342.06,5346.14,5320.24,4.27B,0.13%
2/13/2015,5374.16,5363.98,5380.84,5352.95,3.68B,0.58%
2/16/2015,5325.49,5377.97,5384.02,5320.40,3.53B,-0.91%
2/17/2015,5337.50,5325.68,5342.93,5319.47,3.47B,0.23%
2/18/2015,5390.45,5372.75,5415.38,5372.75,5.17B,0.99%
2/20/2015,5400.10,5399.43,5427.31,5398.35,4.21B,0.18%
2/23/2015,5403.28,5409.94,5418.59,5387.38,3.95B,0.06%
2/24/2015,5417.31,5399.66,5422.44,5397.78,4.18B,0.26%
2/25/2015,5445.11,5426.23,5448.69,5425.90,4.95B,0.51%
2/26/2015,5451.42,5429.48,5459.07,5429.48,4.25B,0.12%
2/27/2015,5450.29,5455.23,5464.22,5441.14,4.44B,-0.02%
3/2/2015,5477.83,5452.83,5477.83,5451.57,4.28B,0.51%
3/3/2015,5474.62,5479.62,5499.77,5472.57,4.32B,-0.06%
3/4/2015,5448.06,5477.82,5484.86,5435.44,3.97B,-0.49%
3/5/2015,5450.95,5457.90,5476.63,5450.95,4.14B,0.05%
3/6/2015,5514.79,5467.15,5514.79,5460.89,4.38B,1.17%
3/9/2015,5444.63,5483.86,5485.00,5424.95,4.20B,-1.27%
3/10/2015,5462.93,5437.13,5471.28,5407.57,4.82B,0.34%
3/11/2015,5419.57,5438.33,5439.26,5405.94,5.38B,-0.79%
3/12/2015,5439.83,5418.19,5449.60,5417.60,4.52B,0.37%
3/13/2015,5426.47,5457.94,5462.59,5420.80,4.23B,-0.25%
3/16/2015,5435.27,5415.47,5449.94,5415.47,3.65B,0.16%
3/17/2015,5439.15,5452.83,5464.02,5431.80,5.06B,0.07%
3/18/2015,5413.15,5425.81,5435.04,5412.96,4.30B,-0.48%
3/19/2015,5453.85,5445.07,5461.30,5444.10,4.88B,0.75%
3/20/2015,5443.06,5433.15,5453.69,5423.28,5.33B,-0.20%
3/23/2015,5437.10,5455.88,5467.94,5437.10,5.55B,-0.11%
3/24/2015,5447.65,5440.59,5457.95,5434.46,4.00B,0.19%
3/25/2015,5405.49,5437.74,5440.45,5396.41,5.17B,-0.77%
3/26/2015,5368.80,5381.02,5413.29,5368.67,4.82B,-0.68%
3/27/2015,5396.85,5352.74,5397.84,5350.47,3.36B,0.52%
3/30/2015,5438.66,5415.28,5459.75,5411.97,4.69B,0.77%
3/31/2015,5518.68,5490.98,5518.68,5484.05,4.75B,1.47%
4/1/2015,5466.87,5516.80,5524.04,5454.53,4.57B,-0.94%
4/2/2015,5456.40,5480.16,5489.64,5436.95,4.81B,-0.19%
4/6/2015,5480.03,5467.70,5489.60,5465.61,3.62B,0.43%
4/7/2015,5523.29,5502.32,5523.29,5493.84,4.78B,0.79%
4/8/2015,5486.58,5513.98,5518.80,5476.89,4.31B,-0.66%
4/9/2015,5500.90,5494.55,5500.90,5478.51,4.26B,0.26%
4/10/2015,5491.34,5504.24,5509.00,5471.40,4.53B,-0.17%
