Date,Price,Open,High,Low,Vol.,Change %
1/5/2015,4122.32,4075.02,4134.68,4038.66,41.30K,1.44%
1/6/2015,4201.65,4098.76,4205.97,4076.65,40.23K,1.92%
1/7/2015,4191.79,4200.27,4211.25,4163.02,32.11K,-0.23%
1/8/2015,4185.99,4184.77,4224.98,4158.75,31.42K,-0.14%
1/9/2015,4171.90,4171.26,4237.06,4169.07,29.73K,-0.34%
1/12/2015,4161.64,4160.81,4185.16,4132.03,25.26K,-0.25%
1/13/2015,4234.01,4164.43,4240.16,4164.43,26.98K,1.74%
1/14/2015,4210.73,4227.93,4240.01,4192.00,24.30K,-0.55%
1/15/2015,4232.07,4206.45,4232.31,4201.36,22.23K,0.51%
1/16/2015,4316.24,4238.83,4316.45,4238.83,30.77K,1.99%
1/19/2015,4193.90,4205.54,4336.25,4140.82,36.60K,-2.83%
1/20/2015,4353.54,4214.82,4353.54,4214.82,33.88K,3.81%
1/21/2015,4439.93,4371.73,4442.83,4367.76,39.37K,1.98%
1/22/2015,4494.66,4443.85,4494.66,4437.33,38.60K,1.23%
1/23/2015,4427.20,4496.14,4497.64,4411.55,35.23K,-1.50%
1/26/2015,4529.73,4436.91,4529.98,4436.91,33.42K,2.32%
1/27/2015,4546.28,4535.96,4553.81,4468.81,37.19K,0.37%
1/28/2015,4506.28,4537.97,4556.42,4495.13,31.29K,-0.88%
1/29/2015,4482.82,4473.74,4511.15,4459.79,30.79K,-0.52%
1/30/2015,4427.41,4485.74,4505.80,4426.35,27.51K,-1.24%
2/2/2015,4421.64,4384.22,4455.92,4366.84,24.11K,-0.13%
2/3/2015,4523.79,4434.11,4530.68,4434.11,28.03K,2.31%
2/4/2015,4506.31,4531.90,4550.26,4500.59,28.68K,-0.39%
2/5/2015,4500.54,4537.32,4578.18,4499.75,32.87K,-0.13%
2/6/2015,4406.29,4493.83,4511.51,4390.25,27.94K,-2.09%
2/9/2015,4392.91,4400.91,4441.00,4380.65,20.96K,-0.30%
2/10/2015,4472.08,4391.47,4472.08,4386.62,19.24K,1.80%
2/11/2015,4534.11,4479.28,4538.50,4479.28,22.39K,1.39%
2/12/2015,4566.67,4542.00,4574.09,4537.77,23.85K,0.72%
2/13/2015,4633.43,4588.12,4648.81,4588.12,31.59K,1.46%
2/16/2015,4730.79,4646.15,4731.23,4646.15,31.41K,2.10%
2/17/2015,4752.63,4748.88,4755.96,4717.01,28.03K,0.46%
2/25/2015,4730.73,4768.00,4775.49,4716.63,27.98K,-0.46%
2/26/2015,4765.71,4727.61,4765.71,4715.41,29.43K,0.74%
2/27/2015,4821.24,4766.01,4824.17,4760.63,33.44K,1.17%
3/2/2015,4919.04,4853.52,4919.04,4834.43,46.79K,2.03%
3/3/2015,4880.99,4908.11,4954.35,4877.16,52.60K,-0.77%
3/4/2015,4973.84,4878.77,4974.13,4878.77,43.62K,1.90%
3/5/2015,4975.55,4977.43,4990.32,4940.06,43.24K,0.03%
3/6/2015,4888.42,4982.54,4993.18,4886.85,39.25K,-1.75%
3/9/2015,4943.57,4863.66,4943.57,4840.08,32.68K,1.13%
3/10/2015,5022.15,4948.87,5040.81,4947.91,34.76K,1.59%
3/11/2015,5016.94,5030.77,5036.01,5002.41,34.16K,-0.10%
3/12/2015,5001.10,5026.20,5041.89,4966.14,32.95K,-0.32%
3/13/2015,5075.87,5020.32,5076.09,5013.04,32.44K,1.50%
3/16/2015,5240.05,5112.68,5240.19,5112.68,47.29K,3.23%
3/17/2015,5281.32,5264.37,5303.15,5218.08,54.60K,0.79%
3/18/2015,5363.18,5282.93,5363.18,5264.92,53.47K,1.55%
3/19/2015,5397.81,5372.26,5398.49,5337.85,54.24K,0.65%
3/20/2015,5474.61,5406.76,5483.62,5406.76,53.10K,1.42%
3/23/2015,5638.27,5513.52,5638.27,5513.52,58.66K,2.99%
3/24/2015,5712.76,5663.75,5719.43,5509.95,67.19K,1.32%
3/25/2015,5784.49,5730.21,5826.09,5700.88,59.77K,1.26%
3/26/2015,5696.59,5778.27,5807.76,5638.40,57.01K,-1.52%
3/27/2015,5785.65,5695.85,5791.24,5688.23,42.78K,1.56%
3/30/2015,5808.27,5801.58,5832.63,5778.15,50.03K,0.39%
3/31/2015,5849.88,5822.79,5902.55,5796.94,55.27K,0.72%
4/1/2015,5994.16,5860.50,6005.35,5858.54,53.90K,2.47%
4/2/2015,6123.47,6037.47,6123.62,6026.85,57.34K,2.16%
4/3/2015,6214.35,6106.10,6219.47,6083.11,58.17K,1.48%
4/7/2015,6327.86,6254.59,6327.86,6244.43,55.81K,1.83%
4/8/2015,6236.04,6356.80,6359.71,6139.38,60.97K,-1.45%
4/9/2015,6186.10,6241.35,6241.35,5954.16,60.01K,-0.80%
4/10/2015,6346.63,6161.35,6369.21,6122.35,54.40K,2.60%
4/13/2015,6464.66,6370.25,6484.08,6346.34,57.99K,1.86%
4/14/2015,6431.20,6474.51,6505.01,6380.50,56.84K,-0.52%
4/15/2015,6184.65,6409.88,6409.88,6173.13,51.21K,-3.83%
4/16/2015,6269.50,6132.46,6339.88,6076.87,45.06K,1.37%
4/17/2015,6291.46,6327.04,6352.36,6265.75,56.19K,0.35%
4/20/2015,6200.36,6289.69,6335.03,6166.72,61.36K,-1.45%
4/21/2015,6440.61,6232.22,6440.77,6232.22,50.99K,3.87%
4/22/2015,6604.31,6517.59,6621.29,6517.59,59.07K,2.54%
4/23/2015,6680.80,6670.81,6714.71,6594.67,64.65K,1.16%
4/24/2015,6678.42,6637.39,6705.52,6576.28,60.23K,-0.04%
4/27/2015,6761.98,6756.17,6821.58,6696.59,57.32K,1.25%
4/28/2015,6577.84,6791.65,6794.48,6513.99,54.24K,-2.72%
4/29/2015,6761.64,6579.61,6764.01,6544.97,47.59K,2.79%
4/30/2015,6846.93,6816.51,6913.62,6816.51,48.77K,1.26%
5/4/2015,6836.75,6884.98,6905.25,6781.31,47.75K,-0.15%
5/5/2015,6595.61,6819.89,6825.72,6557.71,48.92K,-3.53%
5/6/2015,6560.15,6619.53,6782.35,6518.97,44.45K,-0.54%
5/7/2015,6453.40,6531.60,6586.11,6440.73,36.39K,-1.63%
5/8/2015,6752.89,6528.89,6752.90,6528.89,41.92K,4.64%
5/11/2015,7081.65,6836.53,7084.79,6814.16,55.52K,4.87%
5/12/2015,7249.57,7131.68,7250.63,7082.67,60.97K,2.37%
5/13/2015,7316.69,7193.79,7406.82,7114.52,63.92K,0.93%
5/14/2015,7314.69,7336.88,7392.46,7250.64,5.69B,-0.03%
5/15/2015,7289.11,7289.75,7364.08,7189.90,5.42B,-0.35%
5/18/2015,7503.84,7305.74,7515.40,7302.84,5.50B,2.95%
5/19/2015,7669.76,7552.66,7689.85,7447.80,5.50B,2.21%
5/20/2015,7806.37,7714.52,7955.11,7714.52,6.96B,1.78%
5/21/2015,8081.16,7830.23,8081.39,7830.23,6.36B,3.52%
5/22/2015,8127.08,8191.50,8253.61,7962.62,7.25B,0.57%
5/25/2015,8255.73,8009.05,8267.83,7942.79,7.27B,1.58%
5/26/2015,8585.24,8322.12,8585.69,8317.40,7.61B,3.99%
5/27/2015,8629.85,8632.49,8679.52,8415.81,7.69B,0.52%
5/28/2015,8104.02,8629.56,8753.63,8101.64,8.47B,-6.09%
5/29/2015,8229.88,8105.01,8386.37,7774.65,6.38B,1.55%
6/1/2015,8679.48,8335.99,8680.43,8335.99,5.69B,5.46%
6/2/2015,9063.19,8786.97,9063.19,8755.24,6.57B,4.42%
6/3/2015,9111.74,9162.37,9205.48,8857.72,6.63B,0.54%
6/4/2015,9121.96,9154.82,9176.10,8541.74,7.06B,0.11%
6/5/2015,9144.54,9257.00,9335.08,8976.67,8.06B,0.25%
6/8/2015,8961.25,9133.56,9133.56,8818.55,7.44B,-2.00%
6/9/2015,8933.42,8925.05,9056.00,8815.73,6.03B,-0.31%
6/10/2015,9133.28,8886.70,9221.45,8823.99,6.19B,2.24%
6/11/2015,9274.47,9151.09,9274.52,9103.61,6.57B,1.55%
6/12/2015,9382.60,9334.21,9449.38,9290.47,6.91B,1.17%
6/15/2015,9122.74,9414.55,9437.69,9104.47,7.08B,-2.77%
6/16/2015,8775.40,9020.66,9020.66,8679.41,6.48B,-3.81%
6/17/2015,8980.57,8766.85,9013.59,8501.94,5.61B,2.34%
6/18/2015,8592.52,8986.78,9015.52,8588.12,5.39B,-4.32%
6/19/2015,8075.49,8385.77,8509.50,8061.79,4.93B,-6.02%
6/23/2015,8157.59,8068.07,8162.09,7580.95,5.21B,1.02%
6/24/2015,8252.25,8224.95,8310.40,8019.23,5.53B,1.16%
6/25/2015,7891.94,8276.08,8278.34,7783.10,5.59B,-4.37%
6/26/2015,7219.90,7616.54,7625.21,7208.95,4.86B,-8.52%
6/29/2015,6690.91,7324.90,7335.55,6615.90,6.28B,-7.33%
6/30/2015,7037.36,6487.50,7043.46,6195.91,7.14B,5.18%
7/1/2015,6661.30,6952.24,7215.71,6620.15,7.11B,-5.34%
7/2/2015,6212.24,6613.63,6676.02,6165.54,6.45B,-6.74%
7/3/2015,5878.66,5964.64,6321.98,5759.94,6.44B,-5.37%
7/6/2015,5743.39,6263.85,6263.85,5507.70,8.86B,-2.30%
7/7/2015,5416.53,5551.51,5590.76,5406.37,4.29B,-5.69%
7/8/2015,5348.12,5215.94,5388.93,5211.28,9.40B,-1.26%
7/9/2015,5528.58,5304.36,5528.58,5304.36,3.67B,3.37%
