Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
28-Feb-20,4755.60,4835.84,4676.50,4688.05,,188.98K,-4.62%
27-Feb-20,4924.91,4977.71,4863.05,4915.38,,164.30K,0.30%
26-Feb-20,4972.37,5013.54,4881.17,4900.87,,21.51B,-2.90%
25-Feb-20,4909.97,5051.25,4837.76,5047.18,,22.00B,0.83%
24-Feb-20,4948.46,5023.56,4913.35,5005.75,,18.77B,1.01%
21-Feb-20,4910.22,4999.89,4904.19,4955.68,,18.48B,0.89%
20-Feb-20,4807.58,4916.91,4802.45,4912.11,,17.68B,2.56%
19-Feb-20,4810.71,4851.29,4786.07,4789.40,,15.88B,-0.50%
18-Feb-20,4799.52,4819.86,4750.10,4813.55,,15.45B,0.26%
17-Feb-20,4691.36,4800.97,4691.36,4800.97,,14.96B,2.85%
14-Feb-20,4639.53,4710.05,4628.67,4667.81,,12.66B,0.52%
13-Feb-20,4672.54,4692.93,4624.11,4643.48,,12.88B,-0.69%
12-Feb-20,4595.73,4677.59,4590.15,4675.59,,12.17B,1.42%
11-Feb-20,4593.82,4639.93,4568.17,4610.28,,12.32B,0.64%
10-Feb-20,4509.16,4581.80,4500.35,4580.84,,13.14B,1.14%
7-Feb-20,4515.56,4537.65,4461.77,4529.01,,13.68B,-0.14%
6-Feb-20,4415.91,4548.01,4372.53,4535.50,,15.24B,2.71%
5-Feb-20,4358.47,4476.79,4352.24,4415.77,,14.46B,2.00%
4-Feb-20,4114.60,4330.30,4114.60,4329.37,,16.39B,3.51%
3-Feb-20,4150.25,4253.17,4150.25,4182.61,,7.58B,-8.48%
23-Jan-20,4685.59,4716.09,4524.24,4570.19,,12.81B,-3.55%
22-Jan-20,4661.87,4752.14,4603.18,4738.23,,10.59B,1.15%
21-Jan-20,4741.22,4741.22,4682.52,4684.35,,10.29B,-1.62%
20-Jan-20,4707.71,4761.34,4686.39,4761.34,,10.42B,1.41%
17-Jan-20,4711.35,4731.73,4682.57,4695.34,,8.60B,-0.02%
16-Jan-20,4704.91,4713.38,4682.13,4696.24,,9.40B,-0.05%
15-Jan-20,4703.47,4713.52,4661.16,4698.52,,9.40B,-0.18%
14-Jan-20,4744.65,4749.86,4704.51,4707.16,,11.23B,-0.45%
13-Jan-20,4668.19,4728.25,4651.36,4728.25,,10.32B,1.47%
10-Jan-20,4679.72,4682.25,4641.34,4659.82,,10.02B,-0.14%
9-Jan-20,4627.07,4667.88,4627.07,4666.48,,11.72B,1.83%
8-Jan-20,4610.22,4641.95,4571.25,4582.74,,13.74B,-1.10%
7-Jan-20,4592.43,4633.69,4591.82,4633.69,,11.27B,1.16%
6-Jan-20,4542.38,4626.93,4533.78,4580.49,,12.87B,0.27%
3-Jan-20,4575.72,4585.06,4543.77,4568.06,,10.73B,0.12%
2-Jan-20,4508.62,4575.29,4496.91,4562.56,,12.76B,1.98%
31-Dec-19,4445.66,4475.26,4442.17,4474.03,,8.78B,0.61%
30-Dec-19,4373.36,4447.07,4348.72,4447.07,,10.99B,1.42%
27-Dec-19,4421.67,4444.91,4381.45,4384.62,,11.73B,-0.59%
26-Dec-19,4383.19,4410.63,4375.85,4410.63,,8.85B,0.78%
