Date,Price,Open,High,Low,Vol.,Change %
1/5/2015,3641.54,3566.09,3669.04,3551.51,451.20K,3.05%
1/6/2015,3641.06,3608.43,3683.23,3587.23,420.96K,-0.01%
1/7/2015,3643.79,3620.92,3671.19,3601.70,320.19K,0.07%
1/8/2015,3559.26,3650.07,3659.95,3552.10,295.00K,-2.32%
1/9/2015,3546.72,3547.57,3689.75,3536.39,349.98K,-0.35%
1/12/2015,3513.58,3531.51,3560.53,3461.32,266.57K,-0.93%
1/13/2015,3514.04,3506.45,3550.16,3494.77,187.15K,0.01%
1/14/2015,3502.42,3522.91,3547.24,3471.56,196.01K,-0.33%
1/15/2015,3604.12,3501.72,3604.12,3482.27,237.81K,2.90%
1/16/2015,3635.15,3616.25,3662.16,3601.26,282.68K,0.86%
1/19/2015,3355.16,3414.01,3497.25,3330.98,329.51K,-7.70%
1/20/2015,3396.22,3336.79,3419.20,3325.68,297.84K,1.22%
1/21/2015,3548.89,3420.49,3557.79,3409.43,337.93K,4.50%
1/22/2015,3567.61,3551.05,3576.76,3520.05,268.85K,0.53%
1/23/2015,3571.73,3582.09,3627.81,3548.63,280.17K,0.12%
1/26/2015,3607.99,3580.12,3611.62,3559.38,239.77K,1.02%
1/27/2015,3574.93,3614.04,3616.26,3510.02,287.67K,-0.92%
1/28/2015,3525.32,3547.24,3583.31,3512.39,216.22K,-1.39%
1/29/2015,3481.80,3474.91,3505.58,3453.90,211.62K,-1.23%
1/30/2015,3434.39,3496.89,3514.22,3431.94,196.48K,-1.36%
2/2/2015,3353.96,3360.19,3407.26,3347.09,195.18K,-2.34%
2/3/2015,3437.45,3388.60,3441.71,3360.72,192.85K,2.49%
2/4/2015,3401.77,3446.14,3476.82,3399.57,191.30K,-1.04%
2/5/2015,3366.95,3487.95,3487.95,3366.86,250.43K,-1.02%
2/6/2015,3312.42,3352.33,3374.05,3285.93,192.66K,-1.62%
2/9/2015,3345.92,3305.73,3376.53,3298.60,172.35K,1.01%
2/10/2015,3406.94,3345.08,3407.18,3339.55,159.31K,1.82%
2/11/2015,3434.12,3415.98,3445.66,3412.14,144.61K,0.80%
2/12/2015,3442.87,3435.36,3453.58,3405.63,156.08K,0.25%
2/13/2015,3469.83,3458.83,3509.51,3452.08,201.09K,0.78%
2/16/2015,3499.48,3473.29,3504.47,3466.61,165.64K,0.85%
2/17/2015,3522.32,3511.54,3536.82,3511.09,165.33K,0.65%
2/25/2015,3478.73,3529.55,3529.55,3463.95,165.54K,-1.24%
2/26/2015,3566.30,3473.71,3569.33,3456.87,229.33K,2.52%
2/27/2015,3572.84,3565.23,3594.81,3560.45,222.79K,0.18%
3/2/2015,3601.26,3603.45,3608.69,3566.53,248.18K,0.80%
3/3/2015,3507.90,3579.32,3579.32,3504.20,261.87K,-2.59%
3/4/2015,3530.82,3514.67,3540.91,3497.17,199.66K,0.65%
3/5/2015,3496.34,3513.25,3517.08,3467.68,217.51K,-0.98%
3/6/2015,3478.52,3501.18,3516.24,3472.39,181.52K,-0.51%
3/9/2015,3537.75,3449.70,3546.70,3417.49,233.94K,1.70%
3/10/2015,3520.61,3523.64,3551.20,3511.99,194.27K,-0.48%
3/11/2015,3524.65,3524.57,3568.92,3512.22,188.95K,0.11%
3/12/2015,3592.84,3557.69,3603.34,3536.53,265.67K,1.93%
3/13/2015,3617.66,3604.67,3641.39,3594.74,246.87K,0.69%
3/16/2015,3705.67,3641.77,3705.74,3621.12,275.44K,2.43%
3/17/2015,3757.12,3733.96,3762.57,3716.81,371.63K,1.39%
3/18/2015,3846.05,3769.09,3846.05,3763.85,415.19K,2.37%
3/19/2015,3839.74,3851.25,3859.13,3809.71,391.55K,-0.16%
3/20/2015,3892.57,3852.49,3916.86,3832.42,401.82K,1.38%
3/23/2015,3972.06,3923.08,3972.30,3922.21,391.12K,2.04%
3/24/2015,3973.05,3980.07,3989.86,3883.78,468.58K,0.02%
3/25/2015,3940.41,3961.58,3980.72,3913.99,379.97K,-0.82%
3/26/2015,3950.00,3921.74,3992.00,3892.88,346.76K,0.24%
3/27/2015,3971.70,3957.54,3993.03,3932.87,298.76K,0.55%
3/30/2015,4088.18,3999.02,4101.65,3999.02,428.30K,2.93%
3/31/2015,4051.20,4138.89,4166.02,4037.77,436.07K,-0.90%
4/1/2015,4123.90,4057.50,4139.50,4046.94,329.51K,1.79%
4/2/2015,4124.78,4149.95,4156.84,4068.65,339.07K,0.02%
4/3/2015,4170.54,4104.67,4170.56,4092.38,321.30K,1.11%
4/7/2015,4260.04,4213.89,4260.47,4197.02,415.36K,2.15%
4/8/2015,4295.80,4277.45,4304.78,4204.83,458.68K,0.84%
4/9/2015,4262.14,4316.96,4332.17,4212.61,439.70K,-0.78%
4/10/2015,4344.42,4249.38,4351.69,4231.20,348.19K,1.93%
4/13/2015,4421.07,4394.05,4432.02,4361.59,434.15K,1.76%
4/14/2015,4438.18,4432.13,4474.35,4385.91,434.43K,0.39%
4/15/2015,4380.51,4439.31,4476.00,4379.61,472.15K,-1.30%
4/16/2015,4513.55,4355.49,4513.77,4335.63,422.60K,3.04%
4/17/2015,4596.14,4578.68,4630.27,4553.90,552.80K,1.83%
4/20/2015,4521.92,4615.03,4671.17,4492.60,686.44K,-1.61%
4/21/2015,4619.16,4520.46,4620.06,4504.56,490.32K,2.15%
4/22/2015,4739.81,4637.06,4740.93,4632.59,516.21K,2.61%
4/23/2015,4740.89,4764.48,4782.04,4693.97,497.43K,0.02%
4/24/2015,4702.64,4682.63,4730.43,4618.32,480.15K,-0.81%
4/27/2015,4807.59,4753.87,4810.48,4735.31,513.08K,2.23%
4/28/2015,4741.86,4811.32,4839.08,4703.57,608.64K,-1.37%
4/29/2015,4774.33,4722.90,4797.93,4695.79,395.06K,0.68%
4/30/2015,4749.89,4788.41,4818.73,4749.48,399.73K,-0.51%
5/4/2015,4787.74,4757.64,4795.91,4699.40,377.84K,0.80%
5/5/2015,4596.84,4785.19,4785.19,4572.98,460.42K,-3.99%
5/6/2015,4553.33,4626.23,4700.91,4511.76,376.07K,-0.95%
5/7/2015,4470.09,4520.82,4546.34,4467.46,297.76K,-1.83%
5/8/2015,4558.40,4515.55,4559.06,4445.59,302.41K,1.98%
5/11/2015,4690.53,4582.09,4690.95,4535.15,373.84K,2.90%
5/12/2015,4747.42,4692.12,4748.00,4660.02,377.05K,1.21%
5/13/2015,4718.44,4746.71,4758.00,4678.85,370.73K,-0.61%
5/14/2015,4700.78,4717.95,4735.28,4670.17,337.73K,-0.37%
5/15/2015,4617.47,4690.76,4690.76,4592.05,328.43K,-1.77%
5/18/2015,4575.14,4582.06,4623.38,4565.06,269.18K,-0.92%
5/19/2015,4731.22,4577.64,4740.01,4577.64,314.79K,3.41%
5/20/2015,4754.92,4751.57,4843.10,4745.21,363.18K,0.50%
5/21/2015,4840.98,4768.69,4841.61,4746.03,305.06K,1.81%
5/22/2015,4951.34,4895.93,4951.99,4870.60,455.85K,2.28%
5/25/2015,5099.49,4949.11,5099.84,4949.11,465.74K,2.99%
5/26/2015,5198.92,5140.80,5199.30,5063.15,487.95K,1.95%
5/27/2015,5181.43,5216.17,5226.84,5126.86,470.80K,-0.34%
5/28/2015,4834.01,5174.10,5213.18,4831.33,571.83K,-6.71%
5/29/2015,4840.83,4839.53,4924.30,4665.52,427.88K,0.14%
6/1/2015,5076.18,4862.76,5079.32,4835.77,417.50K,4.86%
6/2/2015,5161.87,5091.27,5162.56,5047.08,412.97K,1.69%
